Age,Education_Level,Occupation,Number_of_Dependents,Location,Work_Experience,Marital_Status,Employment_Status,Household_Size,Homeownership_Status,Type_of_Housing,Gender,Primary_Mode_of_Transportation,Income
64,Bachelor's,Education,5,Rural,29,Single,Part-time,4,Own,Single-family home,Female,Walking,52744
23,Bachelor's,Healthcare,4,Rural,2,Single,Self-employed,4,Own,Apartment,Male,Public transit,70072
21,Bachelor's,Education,5,Urban,45,Divorced,Full-time,6,Own,Townhouse,Male,Car,72780
38,Master's,Healthcare,5,Rural,2,Divorced,Full-time,1,Rent,Apartment,Male,Public transit,97715
28,Master's,Healthcare,5,Urban,43,Married,Full-time,1,Own,Townhouse,Male,Car,44100
51,Master's,Healthcare,3,Rural,26,Married,Full-time,2,Rent,Single-family home,Male,Public transit,1426710
36,Bachelor's,Healthcare,5,Rural,15,Married,Self-employed,6,Own,Single-family home,Male,Public transit,3533802
61,High School,Healthcare,2,Urban,35,Single,Full-time,4,Own,Townhouse,Female,Public transit,70106
55,High School,Education,4,Urban,45,Single,Self-employed,3,Own,Single-family home,Male,Walking,68662
31,Master's,Education,3,Urban,20,Married,Full-time,4,Rent,Townhouse,Male,Public transit,1537260
21,Master's,Others,5,Suburban,38,Divorced,Full-time,5,Own,Townhouse,Male,Public transit,72902
34,Master's,Others,5,Urban,2,Divorced,Part-time,5,Own,Single-family home,Male,Public transit,65140
54,High School,Healthcare,4,Suburban,37,Single,Part-time,2,Rent,Apartment,Male,Public transit,73874
70,Bachelor's,Technology,4,Urban,18,Married,Full-time,3,Own,Apartment,Female,Car,68640
20,Bachelor's,Technology,2,Urban,32,Married,Full-time,5,Own,Single-family home,Female,Biking,73568
40,Bachelor's,Education,1,Urban,16,Divorced,Full-time,1,Own,Apartment,Male,Car,69244
30,Master's,Healthcare,2,Suburban,6,Single,Full-time,2,Own,Apartment,Male,Public transit,1326637
18,Master's,Healthcare,2,Urban,44,Married,Full-time,4,Rent,Single-family home,Male,Car,74352
27,Bachelor's,Healthcare,5,Urban,10,Married,Part-time,2,Rent,Single-family home,Male,Car,71248
41,Master's,Others,1,Suburban,41,Single,Self-employed,7,Rent,Single-family home,Male,Biking,68184
32,Bachelor's,Healthcare,0,Suburban,50,Single,Part-time,5,Rent,Single-family home,Male,Biking,3761547
46,Doctorate,Education,2,Urban,23,Married,Self-employed,1,Own,Apartment,Female,Biking,242423
62,Bachelor's,Finance,5,Urban,37,Married,Full-time,7,Own,Single-family home,Male,Public transit,66388
21,Master's,Finance,4,Urban,50,Single,Full-time,4,Own,Single-family home,Female,Public transit,739265
28,Bachelor's,Finance,4,Urban,9,Married,Full-time,4,Rent,Single-family home,Female,Public transit,691577
42,Master's,Technology,1,Suburban,13,Single,Self-employed,2,Rent,Single-family home,Female,Car,72090
27,Doctorate,Healthcare,0,Suburban,2,Single,Full-time,1,Rent,Apartment,Male,Public transit,2548786
54,High School,Finance,3,Urban,13,Single,Full-time,6,Own,Apartment,Female,Car,73416
57,Bachelor's,Education,5,Urban,13,Married,Full-time,1,Own,Apartment,Female,Public transit,600666
26,Bachelor's,Healthcare,2,Urban,19,Single,Part-time,2,Own,Townhouse,Male,Public transit,70326
67,Bachelor's,Finance,0,Urban,45,Married,Full-time,3,Rent,Single-family home,Female,Car,72224
62,Master's,Healthcare,4,Urban,37,Married,Part-time,3,Rent,Apartment,Female,Walking,52967
65,Master's,Others,5,Urban,37,Married,Full-time,1,Rent,Apartment,Female,Car,63488
34,Bachelor's,Others,0,Urban,38,Married,Full-time,1,Rent,Single-family home,Female,Biking,2744513
56,Master's,Healthcare,2,Urban,9,Married,Part-time,7,Own,Apartment,Male,Car,4337968
29,Bachelor's,Healthcare,4,Urban,18,Married,Full-time,6,Own,Single-family home,Male,Biking,65864
39,Bachelor's,Others,0,Rural,25,Married,Full-time,5,Rent,Townhouse,Male,Public transit,4401981
54,Bachelor's,Healthcare,3,Urban,27,Married,Self-employed,3,Own,Apartment,Male,Car,72664
39,High School,Healthcare,1,Suburban,34,Single,Full-time,4,Own,Apartment,Male,Walking,69298
32,Master's,Technology,1,Suburban,46,Married,Part-time,4,Own,Single-family home,Male,Public transit,66212
62,High School,Healthcare,1,Urban,47,Married,Part-time,1,Own,Single-family home,Male,Car,64940
26,Bachelor's,Others,1,Suburban,8,Married,Part-time,1,Rent,Apartment,Male,Public transit,1906146
36,Bachelor's,Education,3,Urban,14,Divorced,Full-time,2,Rent,Single-family home,Female,Biking,68262
19,Master's,Education,1,Suburban,35,Married,Part-time,7,Own,Apartment,Female,Biking,8890316
38,Bachelor's,Others,4,Urban,14,Divorced,Self-employed,5,Own,Single-family home,Male,Public transit,66032
49,High School,Technology,5,Urban,23,Married,Full-time,3,Rent,Single-family home,Female,Public transit,315114
26,Bachelor's,Others,0,Suburban,42,Married,Full-time,2,Own,Apartment,Female,Public transit,65644
44,High School,Others,3,Urban,14,Married,Self-employed,5,Rent,Single-family home,Female,Biking,42559
45,Bachelor's,Healthcare,4,Suburban,50,Divorced,Full-time,5,Own,Townhouse,Male,Walking,65648
51,Master's,Technology,1,Suburban,21,Married,Part-time,3,Own,Single-family home,Male,Public transit,70898
49,Master's,Healthcare,0,Urban,42,Single,Part-time,5,Rent,Apartment,Male,Public transit,605333
23,Master's,Others,5,Urban,1,Married,Part-time,2,Own,Apartment,Male,Walking,1929374
23,Master's,Finance,4,Urban,32,Married,Full-time,1,Rent,Apartment,Female,Walking,8308430
59,Bachelor's,Others,5,Urban,0,Divorced,Full-time,4,Rent,Townhouse,Male,Public transit,75228
58,Bachelor's,Healthcare,3,Urban,30,Married,Part-time,5,Own,Apartment,Male,Public transit,66996
38,Master's,Healthcare,3,Urban,25,Single,Self-employed,6,Own,Single-family home,Male,Walking,68346
70,Bachelor's,Healthcare,5,Urban,6,Divorced,Part-time,5,Rent,Single-family home,Male,Public transit,6422215
45,Bachelor's,Others,1,Rural,41,Single,Full-time,3,Own,Single-family home,Male,Public transit,71180
67,High School,Education,3,Rural,5,Married,Full-time,5,Own,Single-family home,Female,Biking,71366
61,Bachelor's,Healthcare,4,Urban,35,Married,Part-time,7,Own,Single-family home,Male,Biking,75444
67,Master's,Technology,4,Urban,3,Married,Full-time,7,Rent,Single-family home,Female,Public transit,49179
35,Bachelor's,Healthcare,0,Urban,46,Single,Self-employed,3,Rent,Single-family home,Female,Biking,69958
58,Master's,Finance,3,Suburban,4,Single,Part-time,3,Rent,Single-family home,Female,Walking,79699
33,Master's,Healthcare,2,Urban,36,Single,Full-time,6,Own,Single-family home,Female,Car,74896
55,High School,Healthcare,2,Urban,15,Married,Full-time,1,Own,Townhouse,Male,Biking,75456
31,Master's,Healthcare,5,Urban,49,Single,Part-time,3,Own,Single-family home,Female,Car,73710
28,High School,Others,5,Urban,22,Single,Part-time,2,Rent,Townhouse,Male,Car,74912
40,Bachelor's,Finance,1,Urban,47,Single,Full-time,5,Rent,Apartment,Female,Car,72130
62,Master's,Finance,0,Urban,48,Single,Full-time,3,Rent,Apartment,Male,Biking,65076
40,Bachelor's,Healthcare,1,Suburban,4,Married,Part-time,2,Rent,Apartment,Male,Biking,2423121
45,High School,Technology,5,Urban,45,Married,Part-time,7,Rent,Apartment,Female,Public transit,36759
40,Master's,Others,5,Urban,10,Single,Full-time,7,Own,Single-family home,Female,Car,69728
60,Bachelor's,Healthcare,5,Urban,48,Married,Full-time,2,Own,Single-family home,Male,Public transit,65226
68,Master's,Technology,4,Urban,0,Divorced,Self-employed,1,Rent,Townhouse,Female,Public transit,67464
65,Bachelor's,Education,3,Urban,36,Married,Full-time,3,Rent,Single-family home,Male,Biking,343450
37,Bachelor's,Education,3,Urban,32,Single,Part-time,4,Own,Apartment,Female,Car,2887834
61,High School,Technology,4,Suburban,44,Single,Full-time,6,Rent,Apartment,Female,Biking,411813
65,High School,Healthcare,0,Urban,40,Divorced,Part-time,1,Own,Apartment,Male,Biking,71438
45,High School,Technology,4,Urban,41,Divorced,Full-time,2,Own,Apartment,Female,Biking,67514
26,Bachelor's,Technology,1,Suburban,35,Married,Part-time,1,Own,Townhouse,Male,Car,68662
64,Master's,Healthcare,2,Urban,18,Married,Full-time,2,Own,Townhouse,Female,Car,67726
37,Bachelor's,Education,0,Suburban,25,Married,Self-employed,6,Own,Single-family home,Female,Biking,69604
21,High School,Others,1,Urban,10,Single,Self-employed,6,Rent,Apartment,Female,Biking,65886
67,Master's,Healthcare,4,Suburban,16,Married,Full-time,5,Rent,Single-family home,Male,Public transit,499264
69,Bachelor's,Others,1,Suburban,16,Single,Full-time,5,Own,Apartment,Female,Walking,3404066
41,Master's,Healthcare,2,Urban,24,Married,Self-employed,6,Rent,Apartment,Male,Walking,3513048
43,Master's,Education,2,Urban,23,Single,Full-time,4,Own,Apartment,Female,Biking,67274
60,Bachelor's,Finance,4,Urban,33,Married,Self-employed,5,Rent,Apartment,Female,Car,69518
68,Doctorate,Healthcare,1,Urban,40,Married,Full-time,2,Own,Single-family home,Male,Walking,74652
39,Master's,Technology,5,Urban,12,Single,Full-time,6,Own,Single-family home,Female,Walking,68824
47,High School,Healthcare,1,Urban,16,Single,Self-employed,5,Own,Townhouse,Male,Car,74562
31,Doctorate,Others,3,Urban,16,Single,Full-time,5,Rent,Apartment,Female,Public transit,3336727
67,High School,Finance,5,Suburban,19,Single,Self-employed,3,Own,Apartment,Male,Public transit,66948
70,Master's,Education,1,Urban,27,Married,Full-time,6,Rent,Townhouse,Male,Biking,71458
51,Bachelor's,Finance,4,Rural,7,Single,Full-time,6,Rent,Apartment,Male,Car,69044
29,Master's,Others,4,Urban,42,Single,Part-time,6,Own,Single-family home,Male,Public transit,69768
49,Bachelor's,Finance,5,Urban,39,Single,Full-time,2,Rent,Single-family home,Male,Public transit,70330
53,High School,Healthcare,0,Urban,22,Divorced,Self-employed,5,Rent,Single-family home,Male,Car,6667372
37,Master's,Education,4,Urban,0,Married,Full-time,5,Own,Single-family home,Male,Car,67796
61,Bachelor's,Finance,2,Urban,28,Single,Full-time,5,Own,Apartment,Female,Biking,69914
55,Bachelor's,Healthcare,1,Urban,41,Single,Full-time,3,Own,Single-family home,Male,Public transit,69884
55,Master's,Others,0,Urban,25,Single,Part-time,1,Own,Single-family home,Female,Public transit,67080
63,Bachelor's,Finance,3,Suburban,31,Single,Part-time,3,Rent,Apartment,Male,Public transit,431484
64,Bachelor's,Finance,1,Urban,2,Married,Self-employed,5,Own,Single-family home,Male,Public transit,73716
23,Doctorate,Healthcare,1,Urban,45,Single,Full-time,7,Own,Apartment,Male,Car,9829544
21,High School,Education,1,Suburban,46,Single,Full-time,7,Rent,Apartment,Female,Public transit,151677
40,Master's,Technology,0,Urban,28,Married,Part-time,6,Rent,Townhouse,Female,Public transit,67186
42,Bachelor's,Finance,0,Urban,29,Married,Part-time,2,Own,Single-family home,Female,Public transit,65788
36,Master's,Education,1,Urban,38,Married,Part-time,5,Own,Single-family home,Male,Car,69830
68,High School,Healthcare,2,Suburban,46,Single,Full-time,5,Own,Townhouse,Female,Car,66112
22,Bachelor's,Healthcare,4,Suburban,19,Married,Full-time,6,Own,Single-family home,Male,Biking,67288
61,High School,Education,3,Urban,23,Single,Part-time,1,Own,Townhouse,Male,Car,70400
18,High School,Healthcare,3,Urban,39,Married,Full-time,1,Own,Apartment,Male,Public transit,74228
40,Master's,Healthcare,4,Urban,17,Single,Self-employed,6,Rent,Townhouse,Female,Biking,69160
36,Bachelor's,Others,1,Suburban,1,Divorced,Full-time,6,Own,Apartment,Female,Biking,66132
18,Master's,Technology,0,Suburban,5,Married,Part-time,2,Rent,Single-family home,Female,Public transit,169873
52,Bachelor's,Healthcare,0,Urban,20,Divorced,Full-time,6,Own,Townhouse,Female,Walking,74556
50,Doctorate,Others,2,Urban,3,Single,Full-time,1,Own,Apartment,Female,Walking,74302
57,High School,Finance,4,Rural,27,Married,Full-time,6,Own,Single-family home,Female,Public transit,75242
53,Bachelor's,Technology,2,Urban,19,Married,Part-time,6,Own,Single-family home,Male,Public transit,74026
67,Master's,Technology,4,Urban,2,Single,Self-employed,4,Rent,Single-family home,Female,Public transit,155007
58,Bachelor's,Finance,4,Urban,50,Single,Part-time,5,Own,Single-family home,Female,Public transit,74978
28,Doctorate,Education,3,Urban,7,Single,Self-employed,3,Own,Single-family home,Female,Public transit,40819
26,Master's,Technology,2,Suburban,11,Single,Full-time,2,Rent,Apartment,Female,Car,315577
37,High School,Technology,3,Suburban,23,Married,Self-employed,3,Rent,Single-family home,Female,Public transit,7339562
35,High School,Education,5,Suburban,27,Single,Self-employed,3,Own,Single-family home,Male,Car,66134
66,Bachelor's,Education,0,Urban,49,Single,Part-time,3,Own,Apartment,Male,Car,72458
33,High School,Healthcare,5,Urban,25,Married,Self-employed,2,Rent,Single-family home,Male,Biking,602583
18,Master's,Technology,0,Urban,17,Single,Self-employed,1,Rent,Single-family home,Female,Car,75286
39,Bachelor's,Finance,1,Suburban,24,Single,Full-time,3,Own,Apartment,Male,Car,69604
48,Bachelor's,Education,0,Urban,11,Married,Full-time,7,Rent,Apartment,Male,Public transit,72038
51,Bachelor's,Education,2,Urban,45,Married,Full-time,6,Rent,Apartment,Female,Car,129120
68,High School,Healthcare,3,Urban,41,Married,Self-employed,5,Own,Apartment,Male,Car,67076
22,Master's,Healthcare,4,Suburban,39,Married,Full-time,4,Own,Apartment,Male,Biking,71116
61,Bachelor's,Healthcare,4,Urban,47,Single,Full-time,3,Own,Single-family home,Female,Public transit,72944
29,Master's,Others,2,Suburban,18,Married,Self-employed,5,Rent,Townhouse,Female,Car,67094
54,High School,Technology,2,Urban,32,Divorced,Part-time,2,Own,Apartment,Female,Public transit,65190
46,Doctorate,Technology,2,Urban,3,Divorced,Full-time,6,Own,Apartment,Female,Car,69434
69,High School,Technology,0,Urban,46,Married,Self-employed,7,Own,Single-family home,Female,Biking,954934
64,Master's,Healthcare,3,Urban,21,Single,Full-time,6,Own,Apartment,Female,Car,73028
38,Bachelor's,Healthcare,4,Urban,3,Married,Part-time,7,Rent,Apartment,Female,Public transit,72810
41,Bachelor's,Technology,2,Urban,45,Married,Self-employed,1,Own,Single-family home,Male,Car,804205
52,Master's,Healthcare,1,Urban,5,Single,Full-time,4,Rent,Apartment,Male,Public transit,31545
64,Bachelor's,Technology,4,Urban,22,Single,Part-time,5,Own,Single-family home,Female,Public transit,67578
42,Master's,Healthcare,0,Urban,37,Divorced,Full-time,6,Own,Apartment,Female,Public transit,73696
21,High School,Others,1,Urban,46,Single,Full-time,3,Own,Townhouse,Female,Car,65148
54,High School,Technology,5,Urban,28,Married,Full-time,4,Own,Apartment,Male,Public transit,72168
26,High School,Finance,5,Urban,7,Married,Full-time,7,Own,Townhouse,Female,Public transit,73746
47,Master's,Technology,3,Suburban,45,Divorced,Part-time,3,Own,Single-family home,Male,Public transit,71516
42,High School,Healthcare,5,Suburban,50,Married,Full-time,4,Own,Apartment,Female,Public transit,68716
44,Bachelor's,Education,2,Urban,10,Married,Full-time,1,Rent,Apartment,Female,Car,65920
65,Bachelor's,Finance,1,Suburban,17,Married,Self-employed,6,Own,Single-family home,Male,Public transit,33920
33,Master's,Technology,1,Urban,40,Single,Self-employed,4,Own,Single-family home,Female,Biking,70592
31,Bachelor's,Education,3,Urban,19,Married,Full-time,4,Own,Single-family home,Male,Car,68326
58,High School,Technology,3,Suburban,40,Married,Part-time,1,Rent,Apartment,Male,Public transit,55951
62,Bachelor's,Healthcare,2,Urban,25,Married,Part-time,3,Own,Townhouse,Male,Car,67852
41,Master's,Technology,3,Suburban,48,Single,Full-time,1,Rent,Single-family home,Male,Public transit,67150
21,Doctorate,Technology,2,Suburban,4,Married,Full-time,1,Own,Apartment,Male,Biking,65368
44,Bachelor's,Healthcare,2,Urban,19,Single,Self-employed,2,Rent,Apartment,Female,Car,466365
64,High School,Others,4,Rural,21,Married,Part-time,2,Own,Single-family home,Female,Biking,73264
37,High School,Healthcare,0,Urban,1,Married,Part-time,1,Own,Townhouse,Female,Car,78337
49,Master's,Technology,4,Urban,32,Single,Full-time,3,Own,Single-family home,Female,Biking,68054
61,High School,Others,1,Urban,41,Single,Full-time,1,Rent,Single-family home,Female,Public transit,904018
49,High School,Technology,5,Urban,20,Single,Full-time,7,Rent,Apartment,Male,Public transit,73426
68,Doctorate,Technology,3,Suburban,8,Single,Full-time,3,Own,Townhouse,Male,Biking,1626427
63,High School,Healthcare,3,Urban,4,Married,Part-time,1,Rent,Apartment,Female,Public transit,66280
63,Master's,Technology,4,Urban,32,Divorced,Part-time,3,Own,Apartment,Female,Public transit,72374
55,Master's,Technology,1,Rural,24,Single,Full-time,7,Rent,Townhouse,Female,Public transit,74306
63,Bachelor's,Others,0,Urban,40,Single,Full-time,1,Rent,Apartment,Male,Car,309462
52,Master's,Healthcare,5,Urban,20,Married,Part-time,4,Own,Apartment,Male,Public transit,7215570
26,High School,Finance,5,Urban,16,Married,Self-employed,1,Own,Single-family home,Female,Car,72094
37,High School,Technology,0,Urban,36,Married,Self-employed,4,Rent,Townhouse,Male,Public transit,68678
58,Bachelor's,Healthcare,5,Rural,32,Single,Self-employed,2,Own,Townhouse,Male,Public transit,65144
20,Doctorate,Finance,5,Urban,49,Single,Full-time,3,Own,Apartment,Female,Biking,66482
43,Bachelor's,Finance,1,Urban,1,Divorced,Self-employed,1,Rent,Single-family home,Female,Car,385059
49,Master's,Technology,0,Urban,24,Married,Full-time,1,Rent,Single-family home,Female,Public transit,65486
23,Master's,Technology,1,Urban,8,Married,Full-time,6,Own,Single-family home,Male,Public transit,66612
65,High School,Education,2,Rural,15,Married,Part-time,6,Own,Single-family home,Male,Car,73714
51,Bachelor's,Others,2,Suburban,15,Married,Self-employed,1,Own,Single-family home,Female,Car,73694
61,Bachelor's,Healthcare,3,Urban,40,Married,Full-time,6,Own,Townhouse,Male,Car,73226
22,Master's,Others,5,Urban,17,Single,Self-employed,1,Own,Apartment,Female,Biking,72724
61,Master's,Finance,1,Suburban,2,Married,Full-time,1,Own,Single-family home,Female,Public transit,66172
62,High School,Technology,3,Urban,24,Married,Full-time,3,Rent,Apartment,Male,Walking,104141
52,Master's,Healthcare,0,Urban,22,Married,Self-employed,1,Own,Apartment,Male,Car,66828
66,Master's,Others,5,Suburban,15,Married,Part-time,4,Rent,Single-family home,Female,Car,66020
47,Master's,Finance,2,Urban,35,Married,Part-time,1,Own,Apartment,Male,Car,73114
40,High School,Technology,4,Suburban,22,Married,Full-time,2,Own,Apartment,Male,Public transit,7424567
70,High School,Healthcare,4,Rural,39,Single,Full-time,2,Rent,Apartment,Female,Public transit,37128
32,High School,Education,5,Urban,36,Single,Full-time,2,Rent,Single-family home,Male,Biking,43492
35,Bachelor's,Finance,2,Rural,4,Married,Part-time,1,Rent,Single-family home,Female,Walking,71086
33,High School,Healthcare,5,Rural,49,Married,Full-time,6,Rent,Apartment,Male,Walking,47736
28,High School,Healthcare,5,Urban,35,Divorced,Full-time,5,Own,Single-family home,Female,Public transit,67588
36,Bachelor's,Healthcare,2,Suburban,47,Married,Self-employed,6,Own,Apartment,Male,Car,73434
34,Master's,Finance,5,Suburban,31,Single,Full-time,3,Own,Apartment,Male,Car,65924
20,High School,Finance,2,Suburban,1,Married,Full-time,5,Own,Apartment,Female,Car,51058
63,Master's,Technology,4,Urban,12,Divorced,Full-time,5,Own,Apartment,Male,Car,65770
52,Bachelor's,Technology,2,Suburban,28,Married,Full-time,6,Rent,Apartment,Female,Walking,1106374
65,Master's,Others,2,Urban,50,Married,Full-time,4,Rent,Townhouse,Male,Car,67746
60,High School,Finance,3,Suburban,30,Married,Full-time,5,Rent,Apartment,Female,Public transit,1075729
26,Master's,Healthcare,4,Urban,47,Single,Full-time,4,Own,Apartment,Female,Public transit,71474
59,High School,Healthcare,2,Suburban,24,Single,Part-time,1,Rent,Single-family home,Female,Car,44163
59,Bachelor's,Healthcare,4,Suburban,0,Married,Full-time,7,Rent,Townhouse,Male,Public transit,69158
29,Master's,Finance,3,Urban,38,Married,Part-time,3,Rent,Apartment,Female,Public transit,2074808
49,Bachelor's,Technology,5,Suburban,34,Divorced,Part-time,6,Own,Single-family home,Male,Biking,66440
42,High School,Technology,3,Urban,29,Married,Self-employed,4,Own,Single-family home,Female,Car,66680
29,Bachelor's,Technology,3,Urban,34,Divorced,Self-employed,4,Rent,Single-family home,Male,Walking,69746
25,Master's,Education,0,Urban,7,Married,Full-time,7,Own,Apartment,Male,Biking,67502
31,Master's,Healthcare,2,Suburban,2,Married,Full-time,6,Own,Apartment,Male,Public transit,204289
64,High School,Others,2,Urban,1,Married,Self-employed,1,Own,Apartment,Male,Biking,703885
68,Doctorate,Healthcare,3,Urban,8,Single,Part-time,2,Own,Apartment,Male,Car,65298
42,Bachelor's,Education,1,Urban,44,Single,Full-time,2,Own,Townhouse,Female,Public transit,71640
44,High School,Others,0,Suburban,18,Married,Part-time,4,Rent,Single-family home,Female,Public transit,74488
31,Bachelor's,Finance,1,Rural,47,Single,Full-time,2,Own,Apartment,Female,Car,65380
40,Doctorate,Education,0,Urban,9,Married,Part-time,3,Rent,Single-family home,Male,Car,6357275
34,High School,Technology,4,Urban,16,Married,Full-time,7,Own,Apartment,Female,Public transit,75436
21,Bachelor's,Healthcare,0,Urban,32,Married,Full-time,2,Own,Single-family home,Female,Walking,71806
47,Bachelor's,Healthcare,3,Urban,44,Married,Part-time,7,Own,Townhouse,Female,Car,65750
25,High School,Education,0,Rural,22,Married,Part-time,6,Own,Townhouse,Female,Public transit,888934
23,Master's,Others,3,Urban,7,Single,Self-employed,3,Own,Single-family home,Male,Car,72676
43,High School,Others,1,Suburban,27,Married,Part-time,1,Own,Townhouse,Female,Car,74492
64,Master's,Finance,5,Urban,33,Married,Full-time,2,Own,Townhouse,Male,Car,2186095
45,Bachelor's,Healthcare,3,Urban,33,Divorced,Part-time,4,Rent,Single-family home,Male,Car,141081
69,Bachelor's,Technology,2,Suburban,29,Married,Part-time,4,Rent,Apartment,Male,Biking,139820
60,High School,Healthcare,3,Urban,27,Divorced,Part-time,1,Rent,Single-family home,Female,Public transit,72904
49,High School,Healthcare,0,Suburban,29,Married,Part-time,1,Rent,Single-family home,Female,Public transit,250772
49,Bachelor's,Healthcare,5,Suburban,40,Married,Part-time,3,Rent,Townhouse,Female,Public transit,1159998
67,Master's,Healthcare,3,Urban,46,Married,Full-time,7,Rent,Apartment,Female,Public transit,1331940
50,Bachelor's,Education,2,Suburban,27,Married,Self-employed,7,Rent,Townhouse,Male,Car,66188
45,High School,Technology,0,Urban,25,Single,Self-employed,1,Own,Townhouse,Male,Public transit,1211188
66,High School,Finance,2,Urban,22,Single,Part-time,7,Own,Townhouse,Female,Public transit,71038
37,Master's,Education,2,Suburban,27,Divorced,Full-time,7,Own,Apartment,Female,Car,72916
39,Doctorate,Others,0,Urban,35,Single,Full-time,6,Own,Single-family home,Male,Public transit,7069800
51,High School,Technology,4,Urban,6,Single,Part-time,7,Own,Single-family home,Female,Car,1031720
70,Bachelor's,Healthcare,0,Suburban,11,Single,Full-time,6,Own,Apartment,Female,Car,73870
55,Master's,Finance,5,Urban,38,Single,Full-time,2,Own,Apartment,Female,Public transit,72396
56,Bachelor's,Healthcare,2,Urban,32,Single,Full-time,6,Own,Townhouse,Male,Public transit,66280
36,High School,Education,3,Rural,48,Divorced,Part-time,5,Own,Apartment,Male,Walking,67042
38,Bachelor's,Education,5,Urban,29,Single,Part-time,6,Own,Apartment,Male,Public transit,805774
66,High School,Healthcare,5,Urban,31,Married,Part-time,1,Own,Single-family home,Male,Public transit,72178
27,Bachelor's,Technology,5,Suburban,16,Married,Self-employed,4,Rent,Townhouse,Female,Public transit,74014
47,High School,Healthcare,2,Suburban,35,Single,Part-time,4,Rent,Apartment,Male,Public transit,75278
32,Master's,Healthcare,4,Suburban,40,Married,Full-time,2,Own,Apartment,Male,Biking,70524
41,Master's,Technology,1,Urban,1,Married,Part-time,5,Rent,Townhouse,Female,Biking,41111
18,Master's,Technology,0,Urban,41,Married,Full-time,2,Rent,Single-family home,Female,Public transit,73884
35,High School,Finance,4,Rural,42,Married,Part-time,1,Rent,Single-family home,Male,Biking,897079
36,High School,Healthcare,5,Urban,29,Single,Part-time,6,Own,Single-family home,Male,Car,72062
34,Bachelor's,Technology,5,Urban,20,Married,Part-time,2,Rent,Townhouse,Female,Biking,707141
53,High School,Healthcare,2,Rural,38,Married,Full-time,1,Rent,Apartment,Male,Public transit,82599
18,Master's,Technology,1,Rural,26,Divorced,Full-time,4,Own,Apartment,Male,Biking,71314
51,Bachelor's,Others,3,Suburban,0,Married,Full-time,1,Own,Single-family home,Male,Public transit,65916
43,High School,Healthcare,0,Suburban,15,Single,Full-time,1,Own,Single-family home,Female,Biking,69284
44,Bachelor's,Education,2,Urban,1,Married,Part-time,4,Own,Apartment,Male,Public transit,4402219
40,Bachelor's,Technology,1,Urban,34,Married,Self-employed,2,Own,Apartment,Female,Public transit,36608
28,Bachelor's,Others,0,Suburban,29,Single,Full-time,5,Own,Apartment,Female,Public transit,68726
22,High School,Technology,4,Suburban,33,Married,Full-time,7,Own,Single-family home,Female,Car,74728
58,Master's,Others,0,Urban,8,Single,Part-time,5,Own,Apartment,Female,Car,1618768
39,Bachelor's,Healthcare,5,Urban,15,Single,Self-employed,2,Rent,Single-family home,Female,Car,417271
27,Master's,Finance,2,Suburban,24,Married,Self-employed,4,Rent,Single-family home,Male,Biking,67192
46,Bachelor's,Others,0,Urban,37,Single,Part-time,4,Own,Single-family home,Female,Public transit,70380
27,Bachelor's,Finance,5,Urban,22,Single,Part-time,2,Own,Single-family home,Female,Car,66498
34,Master's,Technology,1,Suburban,4,Married,Part-time,1,Own,Townhouse,Male,Walking,65968
68,Bachelor's,Finance,4,Urban,0,Married,Full-time,6,Rent,Single-family home,Male,Public transit,73202
56,Master's,Finance,1,Urban,11,Single,Self-employed,4,Own,Townhouse,Female,Public transit,65834
49,Bachelor's,Healthcare,3,Rural,18,Single,Part-time,5,Rent,Townhouse,Female,Biking,118467
70,Master's,Healthcare,0,Urban,2,Single,Self-employed,3,Own,Single-family home,Male,Car,73194
67,High School,Healthcare,5,Urban,12,Married,Full-time,5,Own,Single-family home,Female,Car,74582
54,High School,Others,5,Urban,3,Divorced,Part-time,1,Rent,Single-family home,Male,Car,75200
19,Bachelor's,Education,5,Urban,29,Married,Full-time,6,Own,Single-family home,Male,Car,71180
36,Master's,Finance,4,Urban,1,Married,Full-time,2,Rent,Townhouse,Female,Car,108024
33,High School,Healthcare,3,Urban,26,Married,Part-time,5,Rent,Townhouse,Female,Public transit,196515
63,Master's,Technology,3,Urban,15,Single,Part-time,6,Own,Apartment,Male,Walking,74222
18,Bachelor's,Finance,1,Urban,46,Single,Part-time,6,Own,Townhouse,Female,Car,919873
64,Bachelor's,Others,2,Urban,36,Divorced,Full-time,3,Own,Single-family home,Male,Public transit,66948
26,Master's,Healthcare,2,Suburban,2,Married,Self-employed,6,Own,Apartment,Male,Biking,1628373
26,Bachelor's,Healthcare,1,Urban,41,Single,Full-time,5,Rent,Apartment,Female,Car,1455572
30,Bachelor's,Finance,5,Urban,46,Married,Self-employed,7,Own,Single-family home,Female,Biking,1444277
45,High School,Finance,2,Urban,21,Single,Full-time,2,Rent,Apartment,Female,Biking,476539
47,Bachelor's,Technology,4,Urban,42,Married,Full-time,2,Own,Single-family home,Male,Public transit,68998
57,High School,Healthcare,1,Urban,9,Single,Full-time,5,Own,Townhouse,Male,Car,67326
23,High School,Education,2,Urban,26,Single,Full-time,7,Own,Single-family home,Male,Public transit,71576
62,Master's,Technology,0,Suburban,6,Single,Self-employed,5,Rent,Single-family home,Female,Public transit,72998
65,Bachelor's,Healthcare,1,Urban,11,Single,Full-time,6,Rent,Single-family home,Male,Walking,483901
